#group,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,long,long,string,long,double,long,double,double,long,long,double,dateTime:RFC3339,long,long
#default,,,,,,,,,,,,,,
,blue,clouds,device,green,humidity,luminosity,pressure,rainfall,red,rssi,temperature,time,visibility,weather
,0,75,ESP32,0,54.23,0,1009.37,0,0,-43,19.15,2024-12-05T06:06:21.870117232Z,6000,0
,0,75,ESP32,0,61.52,0,1009.26,0,0,-43,17.06,2024-12-05T06:08:58.705979807Z,6000,0
,0,75,ESP32,0,64.41,0,1009.3,0,0,-41,16.44,2024-12-05T06:11:35.365031265Z,5000,0
,0,75,ESP32,0,64.55,0,1009.51,0,0,-42,16.56,2024-12-05T06:14:11.99879879Z,5000,0
,0,75,ESP32,0,64.67,0,1009.45,0,0,-42,16.63,2024-12-05T06:16:48.63703811Z,5000,0
,0,75,ESP32,0,64.32,0,1009.37,0,0,-42,16.71,2024-12-05T06:19:25.288260293Z,5000,0
,0,75,ESP32,0,64.34,0,1009.34,0,0,-43,16.76,2024-12-05T06:22:01.92942061Z,5000,0
,0,75,ESP32,0,65.54,0,1009.24,0,0,-41,16.4,2024-12-05T06:24:38.567113338Z,5000,0
,0,75,ESP32,0,65.7,0,1009.23,0,0,-42,16.48,2024-12-05T06:27:15.227859044Z,5000,0
,0,75,ESP32,0,65.02,0,1009.18,0,0,-42,16.78,2024-12-05T06:29:51.869448593Z,5000,0
,0,75,ESP32,0,64.59,0,1009.14,0,0,-42,16.87,2024-12-05T06:32:28.520811688Z,5000,0
,0,100,ESP32,0,65.56,0,1009.17,0,0,-40,16.6,2024-12-05T06:35:05.166800889Z,3700,0
,0,100,ESP32,0,64.89,0,1009.03,0,0,-40,16.84,2024-12-05T06:37:41.829448557Z,3700,0
,0,100,ESP32,0,65.75,0,1008.8,0,0,-40,16.67,2024-12-05T06:40:18.474445137Z,3700,0
,0,100,ESP32,0,65.41,0,1008.63,0,0,-40,16.83,2024-12-05T06:42:55.124461201Z,3700,0
,0,100,ESP32,0,65.79,0,1008.85,0,0,-40,16.73,2024-12-05T06:45:31.779749792Z,3700,0
,0,100,ESP32,0,65.47,0,1008.79,0,0,-40,16.89,2024-12-05T06:48:08.407464511Z,3700,0
,0,100,ESP32,0,65.88,0,1008.81,0,0,-40,16.83,2024-12-05T06:50:45.081667998Z,3700,0
,0,100,ESP32,0,66.81,0,1008.75,0,0,-40,16.61,2024-12-05T06:53:21.765764727Z,3700,0
,0,100,ESP32,0,67.06,0,1008.65,0,0,-40,16.63,2024-12-05T06:55:58.40388412Z,3700,0
,0,100,ESP32,0,66.64,0,1008.64,0,0,-39,16.82,2024-12-05T06:58:35.056051063Z,3700,0
,0,100,ESP32,0,66.44,0,1008.69,0,0,-40,16.9,2024-12-05T07:01:11.70804473Z,3700,0
,0,100,ESP32,0,66.31,0,1008.7,0,0,-40,17.05,2024-12-05T07:03:48.374883975Z,3700,0
,0,100,ESP32,0,67.26,0,1008.77,0,0,-40,16.77,2024-12-05T07:06:25.049020542Z,10000,0
,0,100,ESP32,0,67.06,0,1008.78,0,0,-40,16.93,2024-12-05T07:09:01.723195159Z,10000,0
,0,100,ESP32,0,66.58,0,1008.75,0,0,-41,17.1,2024-12-05T07:11:38.377155187Z,5000,0
,0,100,ESP32,0,67.34,0,1008.81,0,0,-40,16.91,2024-12-05T07:14:15.026815331Z,5000,0
,0,100,ESP32,0,68.03,0,1008.83,0,0,-40,16.72,2024-12-05T07:16:51.70281473Z,5000,0
,0,100,ESP32,0,68.17,0,1008.82,0,0,-37,16.78,2024-12-05T07:19:28.358419709Z,5000,0
,0,100,ESP32,0,67.62,0,1008.86,0,0,-40,16.99,2024-12-05T07:22:05.020902409Z,5000,0
,0,100,ESP32,0,67.69,0,1008.93,0,0,-41,16.97,2024-12-05T07:24:41.680343023Z,5000,0
,0,100,ESP32,0,67.7,0,1008.85,0,0,-40,17.08,2024-12-05T07:27:18.340449963Z,5000,0
,0,100,ESP32,0,67.13,0,1008.83,0,0,-41,17.25,2024-12-05T07:29:55.024940515Z,5000,0
,0,100,ESP32,0,66.49,0,1008.89,0,0,-40,17.51,2024-12-05T07:32:31.684134775Z,5000,0
,0,100,ESP32,0,67.13,0,1008.8,0,0,-40,17.35,2024-12-05T07:35:08.329894008Z,5000,0
,0,100,ESP32,0,67.45,0,1008.79,0.18,0,-40,17.34,2024-12-05T07:37:45.03174784Z,10000,0
,0,100,ESP32,0,68.24,0,1008.77,0.18,0,-40,17.2,2024-12-05T07:40:21.706350822Z,10000,0
,0,100,ESP32,0,68.08,0,1008.73,0.18,0,-40,17.29,2024-12-05T07:42:58.378151549Z,10000,0
,0,100,ESP32,0,68.36,0,1008.69,0.18,0,-42,17.3,2024-12-05T07:45:35.025876062Z,10000,0
,0,100,ESP32,0,68.39,0,1008.57,0,0,-42,17.34,2024-12-05T07:48:11.683333987Z,1400,0
,0,100,ESP32,0,66.71,0,1008.72,0,0,-42,17.81,2024-12-05T07:50:48.333384785Z,1400,0
,0,100,ESP32,0,67.35,0,1008.66,0,0,-43,17.64,2024-12-05T07:53:24.968181101Z,1400,0
